
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
72672,0.076,-0.054,1.004,1.725,0.611,-0.031,-3.06,-4.35
72922,0.074,-0.054,1.001,0.641,0.397,-0.290,-3.10,-4.23
73172,0.074,-0.053,1.002,0.214,0.290,-0.321,-3.03,-4.20
73422,0.071,-0.053,1.001,0.000,0.244,-0.397,-3.02,-4.03
73672,0.068,-0.053,1.000,0.260,0.290,-0.412,-3.05,-3.88
73922,0.067,-0.055,0.995,0.305,0.351,-0.412,-3.15,-3.86
74172,0.066,-0.054,1.000,0.229,0.351,-0.275,-3.10,-3.79
74422,0.065,-0.053,1.000,0.275,0.244,-0.397,-3.02,-3.69
74672,0.066,-0.051,1.000,0.336,0.198,-0.427,-2.94,-3.77
74922,0.065,-0.051,1.001,0.397,0.244,-0.351,-2.93,-3.74
75172,0.067,-0.058,1.006,-1.221,0.901,1.557,-3.30,-3.82
75422,0.065,-0.052,1.004,0.366,0.198,-0.397,-2.97,-3.68
75672,0.065,-0.052,0.999,-0.153,0.275,-0.382,-2.95,-3.70
75922,0.065,-0.052,1.000,0.550,0.229,-0.397,-3.00,-3.72
76172,0.067,-0.053,1.001,1.695,0.672,-0.122,-3.02,-3.81
76422,0.061,-0.053,1.000,0.519,0.214,-0.321,-3.06,-3.47
76672,0.062,-0.054,1.001,0.244,0.153,-0.382,-3.10,-3.55
76922,0.060,-0.052,1.002,0.595,0.198,-0.351,-2.98,-3.45

--- CSV EXPORT END ---
