
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps),roll(deg),pitch(deg)
65020,6.216,1.142,15.578,-0.080,0.048,0.054,4.19,-21.70
65270,6.274,1.144,15.550,-0.100,0.008,0.058,4.21,-21.92
65520,6.310,1.138,15.540,-0.056,0.114,0.034,4.19,-22.05
65770,6.288,1.116,15.574,-0.106,0.004,0.056,4.10,-21.94
66020,6.244,1.228,15.578,-0.028,0.084,0.040,4.51,-21.78
66270,6.344,1.080,15.650,-0.126,-0.150,0.102,3.95,-22.02
66520,6.178,1.134,15.658,-0.032,0.154,0.024,4.14,-21.48
66770,6.398,1.112,15.454,-0.206,-0.154,0.070,4.12,-22.44
67021,6.314,1.080,15.646,-0.176,-0.158,0.090,3.95,-21.93
67271,6.366,1.102,15.532,-0.006,0.196,0.018,4.06,-22.24
67521,6.334,1.094,15.536,-0.172,-0.162,0.094,4.03,-22.13
67771,6.334,1.106,15.648,0.052,0.312,-0.006,4.04,-21.99
68021,6.132,1.082,15.596,-0.174,-0.210,0.128,3.97,-21.42
68271,6.404,1.094,15.658,-0.146,-0.108,0.078,4.00,-22.20
68521,6.304,1.098,15.550,-0.052,0.114,0.050,4.04,-22.02
68771,6.330,1.168,15.506,-0.082,0.160,0.004,4.31,-22.15
69022,6.206,1.166,15.562,-0.098,-0.072,0.084,4.28,-21.69
69272,6.214,1.166,15.492,-0.118,0.000,0.074,4.30,-21.80
69522,6.234,1.162,15.514,-0.108,-0.030,0.070,4.28,-21.84
69772,6.256,1.178,15.546,-0.068,0.044,0.058,4.33,-21.86
70022,6.368,1.104,15.522,-0.050,0.166,0.032,4.07,-22.26
70272,6.322,1.138,15.540,-0.190,-0.200,0.080,4.19,-22.08
70522,6.190,1.146,15.658,-0.194,-0.288,0.100,4.19,-21.52
70772,6.204,1.180,15.490,-0.100,0.040,0.068,4.36,-21.77
71023,6.192,1.132,15.668,-0.146,-0.140,0.072,4.13,-21.51
71273,6.268,1.122,15.556,-0.082,0.044,0.056,4.13,-21.89
71523,6.130,1.206,15.444,-0.174,-0.138,0.078,4.47,-21.59
71773,6.362,1.118,15.568,-0.040,0.120,0.044,4.11,-22.18
72023,5.972,1.240,15.366,-0.284,-0.262,0.082,4.61,-21.18
72273,6.456,1.082,15.546,-0.050,0.086,0.052,3.98,-22.50
72523,6.272,1.116,15.528,-0.070,0.112,0.046,4.11,-21.94
72773,6.228,1.124,15.710,-0.162,-0.204,0.100,4.09,-21.58
73024,6.344,1.080,15.600,-0.162,-0.194,0.104,3.96,-22.08
73274,6.322,1.132,15.548,0.014,0.208,0.028,4.16,-22.07
73524,6.382,1.086,15.612,-0.118,-0.036,0.062,3.98,-22.19
73774,6.292,1.080,15.574,-0.068,0.022,0.060,3.97,-21.95
74024,6.292,1.128,15.564,-0.072,0.102,0.048,4.15,-21.96
74274,6.338,1.092,15.598,-0.064,0.064,0.044,4.00,-22.06
74524,6.390,1.110,15.550,-0.110,0.022,0.054,4.08,-22.29
74774,6.252,1.174,15.546,-0.082,0.068,0.048,4.32,-21.85
75025,6.386,1.062,15.604,-0.068,0.014,0.060,3.89,-22.21
75275,6.264,1.206,15.540,-0.108,0.012,0.054,4.44,-21.89
75525,6.354,1.136,15.526,-0.072,0.088,0.060,4.18,-22.20
75775,6.374,1.118,15.596,-0.118,-0.052,0.068,4.10,-22.18
76025,6.342,1.116,15.548,-0.098,-0.026,0.058,4.11,-22.14
76275,6.320,1.060,15.576,-0.070,0.086,0.052,3.89,-22.04
76525,6.278,1.162,15.562,-0.084,0.052,0.052,4.27,-21.91
76775,6.290,1.098,15.560,-0.088,0.032,0.052,4.04,-21.96
77026,6.244,1.138,15.556,-0.094,0.036,0.050,4.18,-21.82
77276,6.268,1.098,15.572,-0.076,0.078,0.042,4.03,-21.88
77526,6.234,1.156,15.554,-0.082,0.082,0.044,4.25,-21.79
77776,6.306,1.018,15.594,0.004,0.268,0.016,3.74,-21.98
78026,6.344,1.132,15.492,0.008,0.216,0.036,4.18,-22.22
78276,6.312,1.092,15.616,-0.166,-0.182,0.074,4.00,-21.96
78526,6.308,1.040,15.748,-0.030,0.120,0.038,3.78,-21.79
78776,6.306,1.130,15.512,-0.110,0.012,0.078,4.17,-22.07
79027,6.332,1.122,15.510,-0.074,0.076,0.044,4.14,-22.16
79277,6.326,1.108,15.522,-0.104,0.006,0.068,4.08,-22.12
79527,6.326,1.162,15.536,-0.072,0.118,0.044,4.28,-22.10
79777,6.322,1.082,15.574,-0.078,0.074,0.046,3.97,-22.05
80027,6.310,1.136,15.534,-0.080,0.062,0.052,4.18,-22.05
80277,6.306,1.098,15.516,-0.082,0.034,0.046,4.05,-22.07
80527,6.280,1.078,15.570,-0.102,0.032,0.030,3.96,-21.92
80777,6.474,1.064,15.486,-0.140,-0.140,0.134,3.93,-22.64
81028,6.322,1.170,15.568,-0.088,0.022,0.052,4.30,-22.05
81278,6.304,1.164,15.568,-0.100,0.014,0.064,4.28,-21.99
81528,6.272,1.150,15.526,-0.096,0.032,0.050,4.24,-21.94
81778,6.406,1.126,15.574,-0.148,-0.102,0.102,4.14,-22.31
82028,6.412,1.104,15.522,-0.102,-0.088,0.120,4.07,-22.39
82278,6.338,1.136,15.554,-0.022,0.124,0.038,4.18,-22.12
82528,6.466,1.040,15.534,-0.064,0.034,0.056,3.83,-22.55
82778,6.158,1.172,15.512,-0.154,-0.038,0.042,4.32,-21.60
83029,6.234,1.112,15.646,-0.122,0.024,0.048,4.07,-21.67
83279,6.270,1.140,15.568,-0.102,0.026,0.056,4.19,-21.88
83529,6.268,1.122,15.588,-0.098,0.020,0.062,4.12,-21.85
83779,6.302,1.156,15.544,-0.094,0.026,0.056,4.25,-22.01
84029,6.228,1.138,15.558,-0.114,-0.052,0.084,4.18,-21.76
84279,6.318,1.090,15.606,-0.106,-0.006,0.066,4.00,-21.99
84529,6.270,1.124,15.542,-0.108,-0.022,0.058,4.14,-21.92
84779,6.288,1.146,15.550,-0.086,0.044,0.050,4.21,-21.96
85030,6.296,1.146,15.550,-0.056,0.080,0.044,4.21,-21.99
85280,6.366,1.076,15.510,-0.030,0.148,0.050,3.97,-22.27
85530,6.288,1.112,15.572,-0.106,-0.024,0.066,4.08,-21.94
85780,6.298,1.120,15.614,-0.132,-0.024,0.064,4.10,-21.92
86030,6.294,1.110,15.576,-0.098,0.018,0.056,4.08,-21.95
86280,6.286,1.106,15.584,-0.060,0.106,0.028,4.06,-21.92
86530,6.250,1.102,15.536,-0.120,0.048,0.038,4.06,-21.86
86780,6.310,1.096,15.550,-0.076,0.062,0.050,4.03,-22.04
87031,6.274,1.120,15.564,-0.100,0.000,0.064,4.12,-21.90
87281,6.226,1.114,15.578,-0.084,0.066,0.032,4.09,-21.73
87531,6.272,1.148,15.580,-0.086,0.036,0.062,4.21,-21.87
87781,6.270,1.118,15.568,-0.092,0.022,0.062,4.11,-21.89
88031,6.270,1.126,15.560,-0.088,0.046,0.054,4.14,-21.90
88281,6.330,1.120,15.524,-0.072,0.096,0.054,4.13,-22.13
88531,6.274,1.152,15.580,-0.086,0.048,0.054,4.23,-21.88
88781,6.318,1.104,15.572,-0.076,0.070,0.052,4.06,-22.03
89032,6.264,1.146,15.572,-0.074,0.052,0.052,4.21,-21.86
89282,6.304,1.100,15.550,-0.060,0.114,0.036,4.05,-22.02
89532,6.272,1.150,15.578,-0.074,0.058,0.048,4.22,-21.88
89782,6.300,1.122,15.542,-0.086,0.066,0.054,4.13,-22.01
