
>>> Exporting CSV... <<<
--- CSV EXPORT START ---
timestamp(ms),ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps
61771,0.210,-0.291,1.098,-50.244,-93.496,43.557
62021,0.109,-0.165,1.085,5.557,11.389,-20.061
62271,0.602,-0.545,1.651,1.985,70.168,-30.702
62521,0.030,-0.274,0.269,28.595,47.863,1.328
62771,0.308,-0.213,1.114,-12.137,-70.031,56.000
63021,0.254,0.023,0.911,-25.252,-4.595,-8.336
63271,0.539,-0.110,1.348,46.718,-7.740,-34.321
63521,0.315,-0.291,0.994,-33.267,113.817,-98.260
63771,0.024,-0.203,0.635,7.053,-31.740,20.076
64021,0.194,-0.308,1.197,-54.580,-6.382,51.679
64271,0.163,-0.016,1.045,34.427,-21.756,8.595
64521,0.490,-0.276,1.485,-80.336,50.443,-85.481
64771,0.143,-0.236,0.683,-37.145,147.527,-48.137
65021,0.013,-0.430,0.860,-3.298,-125.389,21.725
65271,0.110,-0.315,0.989,-44.748,56.351,38.458
65521,0.235,-0.210,0.967,-47.679,29.527,-35.878
65771,0.581,-0.260,1.047,-35.832,86.641,-146.656
66021,0.270,-0.321,0.670,2.427,107.130,-88.397
66271,0.197,-0.426,1.471,67.313,-111.344,23.313
66521,0.168,-0.910,0.762,-173.939,125.939,104.458
66771,-0.615,-0.735,0.880,70.061,42.427,14.061
67021,1.047,-0.538,2.000,78.809,-9.237,-101.771
67271,-0.285,-0.713,0.885,-249.115,145.939,44.458
67521,-0.001,-0.830,0.825,250.130,-250.122,-92.473
67771,-0.593,-0.556,0.370,-9.160,-27.450,36.321
68021,-0.715,-0.989,-0.245,-170.153,250.130,77.573
68271,-0.289,-0.471,-0.619,250.130,-116.947,-46.824
68521,-0.910,-0.773,0.245,130.305,-91.710,73.863
68771,-0.391,-0.703,0.315,44.962,-6.870,109.435
69021,-0.089,-0.331,0.771,-50.550,77.099,26.275
69271,-0.180,-0.326,1.200,107.359,-190.870,-91.588
